Топик,Количество,Процент
kpi,0,0.0
автоматизация процессов,0,0.0
адаптация,0,0.0
баланс,0,0.0
бизнес процесс,0,0.0
быт,0,0.0
бюрократия,1,0.011905
взаимодействие,12,0.142857
график работы,13,0.154762
дмс,0,0.0
дресс код,0,0.0
зарплата,27,0.321429
испытательный срок,0,0.0
карьерный рост,2,0.02381
колл центр,0,0.0
коллектив,6,0.071429
корпоративная культура,0,0.0
мероприятия,0,0.0
мобильная связь,0,0.0
мотивация,1,0.011905
нагрузка,1,0.011905
наставничество,0,0.0
оборудование,0,0.0
обратная связь,0,0.0
обучение,1,0.011905
обязанности,1,0.011905
опыт,0,0.0
отдых,7,0.083333
отношение,5,0.059524
офис,0,0.0
охрана труда,0,0.0
парковка,0,0.0
питание,4,0.047619
программное обеспечение,0,0.0
проживание,0,0.0
рабочий процесс,1,0.011905
развитие,0,0.0
расположение,1,0.011905
руководство,8,0.095238
скидка,0,0.0
соблюдение тк,0,0.0
соц пакет,0,0.0
спец одежда,0,0.0
транспорт,0,0.0
удаленная работа,1,0.011905
условия,11,0.130952
штраф,0,0.0
